Local;Atividade;Absoluto_Entrada;Taxas_IN;Absoluto_Saida;Taxas_OUT
Brasil;A;22794; 4,6 ;9398; 1,9 
Brasil;B;2618; 1,3 ;2166; 1,1 
Brasil;C;153215; 2,3 ;108547; 1,6 
Brasil;D;2552;2;1476; 1,2 
Brasil;E;10215;3;1841; 0,5 
Brasil;F;123496; 6,7 ;50911; 2,7 
Brasil;G;426403; 4,8 ;203057; 2,3 
Brasil;A;68871;3;31963; 1,4 
Brasil;I;133659; 7,1 ;60383; 3,2 
Brasil;J;33452; 3 ;16659;2
Brasil;K;17035; 1,9 ;4963; 0,6 
Brasil;L;6270; 4,1 ;2342; 1,5 
Brasil;M;40481; 4,2 ;15256; 1,6 
Brasil;N;161373; 4,2 ;72553; 1,9 
Brasil;O;9;0;1074;0
Brasil;P;39739; 3,7 ;17495; 1,6 
Brasil;Q;43172;4;19519; 1,8 
Brasil;R;12764; 7,9 ;5272; 3,3 
Brasil;S;15738; 5,3 ;9799; 3,3 
Brasil;U;;;;

