Local;Atividade;Absoluto_Entrada;Taxas_IN;Absoluto_Saida;Taxas_OUT
Norte;A;2643;8,2;601;1,9
Norte;B;171;0,7;205;0,8
Norte;C;4995;2,2;4631;2
Norte;D;81;0,7;; 
Norte;E;236;1,7;76;0,5
Norte;F;9351;8,4;3547;3,2
Norte;G;29100;6;15502;3,2
Norte;H;3490;3,3;1161;1,1
Norte;I;6408;9,4;3996;5,9
Norte;J;1204;5,1;783;3,3
Norte;K;546;1,8;371;1,2
Norte;L;284;5,8;125;2,5
Norte;M;2989;8,9;2045;6,1
Norte;N;13831;8,4;3692;2,2
Norte;O;;;; 
Norte;P;4055;7,8;1195;2,3
Norte;Q;3078;6,5;1723;3,7
Norte;R;673;11,9;267;4,7
Norte;S;851;7,6;492;4,4
Norte;U;;;; 
Sul;A;2770;3,8;1622;2,2
Sul;B;244;1,5;245;1,5
Sul;C;42395;2,3;24687;1,3
Sul;D;155;0,5;553;2
Sul;E;565;1,2;279;0,6
Sul;F;16601;5,4;7974;2,6
Sul;G;69560;4,1;29954;1,8
Sul;H;11289;2,6;4844;1,1
Sul;I;21380;6,9;6916;2,2
Sul;J;5306;3,6;1841;1,2
Sul;K;1812;1,2;740;0,5
Sul;L;749;2,9;283;1,1
Sul;M;5743;3,7;1613;1
Sul;N;23588;4,5;12192;2,3
Sul;O;;;1067;29
Sul;P;4517;3,2;1461;1
Sul;Q;5859;4;1062;0,7
Sul;R;1868;7,7;730;3
Sul;S;2090;5;995;2,4
Sul;U;;;; 
Nordeste;A;5463;4,4;1514;1,2
Nordeste;B;683;2,2;829;2,6
Nordeste;C;24998;2,7;14858;1,6
Nordeste;D;1356;5,6;; 
Nordeste;E;3140;4,2;516;0,7
Nordeste;F;36686;9,8;9669;2,6
Nordeste;G;82980;5,3;41510;2,7
Nordeste;H;15009;4,9;4866;1,6
Nordeste;I;24307;7,6;10768;3,4
Nordeste;J;5141;5,5;1466;1,6
Nordeste;K;2662;2,7;551;0,6
Nordeste;L;1394;5,5;501;2
Nordeste;M;7430;5,6;2753;2,1
Nordeste;N;26485;4;8541;1,3
Nordeste;O;9;0,1;; 
Nordeste;P;8636;3,4;4626;1,8
Nordeste;Q;14671;6,7;8489;3,9
Nordeste;R;1867;7,3;969;3,8
Nordeste;S;2907;4,9;2233;3,8
Nordeste;U;;;; 
Sudeste;A;6185;3,3;3800;2
Sudeste;B;1284;1,1;608;0,5
Sudeste;C;65449;2;52203;1,6
Sudeste;D;540;1,1;; 
Sudeste;E;6041;3,5;814;0,5
Sudeste;F;51858;5,7;24855;2,7
Sudeste;G;201531;4,5;97569;2,2
Sudeste;H;33089;2,5;16992;1,3
Sudeste;I;67773;6,6;32936;3,2
Sudeste;J;19156;3,7;11609;2,3
Sudeste;K;10613;2;2921;0,5
Sudeste;L;3211;3,8;1074;1,3
Sudeste;M;20710;3,7;7610;1,3
Sudeste;N;83353;3,8;43164;2
Sudeste;O;;;; 
Sudeste;P;18521;3,5;8891;1,7
Sudeste;Q;16166;3;7101;1,3
Sudeste;R;7004;7,6;2821;3
Sudeste;S;8299;5,1;5214;3,2
Sudeste;U;;;; 
CentroOeste;A;5733;7,6;1861;2,5
CentroOeste;B;236;1,9;279;2,3
CentroOeste;C;15378;3,5;12168;2,8
CentroOeste;D;420;3,7;195;1,7
CentroOeste;E;233;0,7;156;0,5
CentroOeste;F;9000;6;4866;3,3
CentroOeste;G;43232;5,7;18522;2,4
CentroOeste;H;5994;3,4;4100;2,3
CentroOeste;I;13791;8,9;5767;3,7
CentroOeste;J;2645;3,6;960;1,3
CentroOeste;K;1402;1,8;380;0,5
CentroOeste;L;632;4,9;359;2,8
CentroOeste;M;3609;5;1235;1,7
CentroOeste;N;14116;4,8;4964;1,7
CentroOeste;O;;;; 
CentroOeste;P;4010;4,7;1322;1,5
CentroOeste;Q;3398;2,6;1144;0,9
CentroOeste;R;1352;9,6;485;3,5
CentroOeste;S;1591;6;865;3,3
CentroOeste;U;;;; 
